MM Index|Meaning|Type|Explanation|Rules|Example|Opposite|Synonym
5877|à partir de maintenant, désormais|N;Abs|||||
5878|façade, face, front|N;Abs|||||
5879|fonction, capacité, facilité, faculté, fonctionnalité|N;Abs|||||
5880|grande joie|N;Abs|||||
5881|grande bataille, grande guerre|N;Abs|||||
5882|affliction, chagrin, désolation|N;Abs|||||
5883|sol, surface de la terre|N;Abs|||||
5884|moitié|N;Abs|||||
5885|coût de main d'oeuvre, commission|N;Abs|||||
5886|taille (hauteur), stature|N;Abs|||||
5887|le plus fort|N;Abs|||||
5888|gêne, encombre, obstacle, entrave, empêchement, dérangement, nuisance||||||
5889|rendre visite (au domicile de quelqu'un)||||||
5890|démon qui entrave la formation bouddhiste, démon qui empêche les êtres sensibles de maintenir un comportement moral||||||
5891|Histoire|N;Abs|||||
5892|ancienneté, lignage|N;Abs|||||
5893|coup, par ... (unités), réussite, succès|N;Abs|||||
5894|passe-temps, loisir|N;Abs|||||
5895|trou|N;Abs|||||
5896|déficit, pénurie, manque, personne absente (dans une équipe, une réunion, etc.)|N;Abs|||||
5897|vacance, poste vacant|N;Abs|||||
5898|défaut|N;Abs|||||
5899|lieu rentable (ou chose, etc.) pas bien connu par les autres|N;Abs|||||
5900|victoire surprise (avec un grand gain)|N;Abs|||||
5901|fosse (d'un théâtre)|N;Abs|||||
5902|cachette|N;Abs|||||
5903|ventre mou (de la société, etc.)|N;Abs|||||
5904|honneur|N;Abs|||||
5905|famille, maison, maisonnée, style (école, lignée artistique)|N;Abs|||||
5906|travail à la maison, travail domestique|N;Abs|||||
5907|affaires familiales, affaires du ménage|N;Abs|||||
5908|vie (humaine, c.-à-d. de la naissance à la mort)|N;Abs|||||
5909|coté gauche (d'une scène de théatre), partie basse, position humble|N;Abs|||||
5910|identique, égal à, même (genre), pareil, comme, semblable, similarité||||||
5911|maladie||||||
5912|illumination, éclairage|N;Abs|||||
5913|incident, évènement, affaire|N;Abs|||||
5914|information, renseignement, orientation||||||
5915|guider, faire visiter, mener||||||
5916|blessure, mal|N;Abs|||||
5917|assurance|N;Abs|||||
5918|état furieux ou coléreux, odeur forte (pénétrante)|N;Abs|||||
5919|but, dessein, intention|N;Abs|||||
5920|intention, projet|N;Abs|||||
5921|conviction, croyance|N;Abs|||||
5922|dessein, intention|N;Abs|||||
5923|intérêt (d'un prêt)|N;Abs|||||
5924|interférence, intervention, se mêler de (suru)|N;Abs|||||
5925|invitation|N;Abs|||||
5926|isolement, séquestration|N;Abs|||||
5927|japonais-anglais|N;Abs|||||
5928|allégresse, joie, jubilation, plaisir, satisfaction|N;Abs|||||
5929|équitabilité, impartialité, justice|N;Abs|||||
5930|justice|N;Abs|||||
5931|monarchie, royaume|N;Abs|||||
5932|langue|N;Abs;Sx|||||
5933|mot|N;Abs;Sx|||||
5934|éclat de rire|N;Abs|||||
5935|loi|N;Abs|||||
5936|loi, acte, principe||||||
5937|méthode||||||
5938|humeur||||||
5939|dharma||||||
5940|conférence, cours magistral|N;Abs|||||
5941|conférence, colloque, discours|N;Abs|||||
5942|gauche, côté gauche|N;Pl|||||
5943|licence, permis|N;Abs|||||
5944|vie|N;Abs|||||
5945|durée de vie|N;Abs|||||
5946|vie, existence|N;Abs|||||
5947|vie, existence, moyens de subsistance, conditions de vie|N;Abs|||||
5948|lampe, lumière|N;Abs|||||
5949|ce que l'on aime et ce que l'on déteste, goûts et dégoûts, être difficile (à propos de la nourriture), côté tatillon, goûts, préférences|N;Abs|||||
5950|express limité (train, plus rapide qu'un express)|N;Abs|||||
5951|très pressé|N;Abs|||||
5952|attachement, regret|N;Abs|||||
5953|coût de la vie|N;Abs|||||
5954|voyage, excursion|N;Abs|||||
5955|longue vie, longévité|N;Abs|||||
5956|durer (longtemps), tenir (bien)|N;Abs|||||
5957|pause déjeuner, pause de midi|N;Abs|||||
5958|voie (ferrée) principale|N;Abs|||||
5959|grand nettoyage, nettoyage de printemps|N;Abs|||||
5960|discipline, domaine, spécialisation, spécialité|N;Abs|||||
5961|majorité, plus de la moitié, la plupart (de)|N;Abs|||||
5962|principalement, grandement, largement, en grande partie, surtout, presque|N;Abs|||||
5963|façon, méthode, manière, style|N;Abs|||||
5964|apparence, aspect, air|N;Abs|||||
5965|tendance|N;Abs|||||
5966|chanson folklorique (genre de Shi Jing)|N;Abs|||||
5967|vent (un des cinq éléments)|N;Abs|||||
5968|cérémonie de mariage|N;Abs|||||
5969|moyens, manière, façon, mesure|N;Abs|||||
5970|médecine, science médicale|N;Abs|||||
5971|fête, meeting, réunion, rassemblement|N;Abs|||||
5972|association, club|N;Abs|||||
5973|cotisation (de membre)|N;Abs|||||
5974|mémo, note, mémorandum|N;Abs|||||
5975|souvenir|N;Abs|||||
5976|message|N;Abs|||||
5977|méthode, processus, procédé, manière, façon, moyen, technique|N;Abs|||||
5978|coeur (ville, forêt, etc.), centre, milieu|N;Abs|||||
5979|âme, coeur, esprit|N;Abs|||||
5980|sens d'une phrase, d'une expression (devinette, etc.)|N;Abs|||||
5981|miracle|N;Abs|||||
5982|malentendu, méprise, erreur, mauvais choix|N;Abs|||||
5983|à notre époque, actuellement, de nos jours, ère moderne, les temps modernes|N;Abs|||||
5984|soleil levant|N;Abs|||||
5985|exercice, entraînement physique|N;Abs|||||
5986|appel, campagne, croisade, mouvement, lobbying|N;Abs|||||
5987|mouvement, déplacement|N;Abs|||||
5988|mutuel, réciproque|N;Abs|||||
5989|nation, nationalité, peuple, citoyen|N;Abs|||||
5990|nature véritable, vrai caractère|N;Abs|||||
5991|le Nouvel An (en part. les trois premiers jours)|N;Abs|||||
5992|le premier mois de l'année, janvier|N;Abs|||||
5993|informations, journal (TV), nouvelles|N;Abs|||||
5994|information, nouvelles, renseignement, conseils|N;Abs|||||
5995|information, données contenues dans les caractères, signaux, codes, etc.|N;Abs|||||
5996|gratuit, libre|N|||||
5997|midi, mi-journée|N;Abs|||||
5998|attention (faire ~), considération, observation|N;Abs|||||
5999|nombre de fois, fréquence, compte|N;Abs|||||
6000|chiffre, nombre||||||
6001|nourriture, nutrition, alimentation|N;Abs|||||
6002|arôme, fumet, odeur, parfum, puanteur, senteur|N;Abs|||||
6003|aura, bouffée, relents de..., sens, saveur|N;Abs|||||
6004|notre chez-nous, notre maison|N;Abs|||||
6005|cela-même|N;Abs|||||
6006|aller simple, (voyage) sans retour|N;Abs|||||
6007|billet aller simple|N;Abs|||||
6008|avis, opinion, point de vue, commentaire|N;Abs|||||
6009|commande, commission, constitution, nomination, ordre|N;Abs|||||
6010|autre (endroit, objet, personne), ailleurs, autre part, les autres, le reste|N;Abs|||||
6011|à l'extérieur, dehors, au-delà de|N;Abs|||||
6012|excepté, à l'exception de, sauf, sinon, à part, rien d'autre que, pas d'autre choix (que)|N;Abs|||||
6013|outre..., en plus de...|N;Abs|||||
6014|sortie, excursion, voyage, sortir||||||
6015|en dehors du pays|N;Abs|||||
6016|allure, pas|N;Abs|||||
6017|parenthèses, crochets|N;Abs|||||
6018|fête|N;Abs|||||
6019|peine, punition, sanction|N;Abs|||||
6020|état complet, perfection|N;Abs|||||
6021|periode, durée, terme, intervalle|N;Abs|||||
6022|curriculum vitae|N;Abs|||||
6023|origine d'une personne (par ex. ville, pays, filiation, école)|N;Abs|||||
6024|phénomène|N;Abs|||||
6025|éducation physique, gymnastique, athlétisme|N;Abs|||||
6026|pique-nique|N;Abs|||||
6027|emplacement, endroit, lieu, localité, situation, position|N;Abs|||||
6028|place, espace|N;Abs|||||
6029|basho, tournoi de lutte|N;Abs|||||
6030|compteur, appareil de mesure||||||
6031|(au) total, total (de)||||||
6032|projet, stratégie|N;Abs|||||
6033|pièce (de théâtre), représentation, théâtre, drame, comédie|N;Abs|||||
6034|milieu politique, monde politique|N;Abs|||||
6035|gouvernement, la politique|N;Abs|||||
6036|population|N;Abs|||||
6037|« on-dit », ragot, rumeur|N;Abs|||||
6038|partie, portion, section|N;Abs|||||
6039|possibilité, potentialité, probabilité|N;Abs|||||
6040|usage pratique, application|N;Abs|||||
6041|conjugaison, déclinaison, inflexion|N;Abs|||||
6042|complexe d'infériorité, parti-pris, préjugé|N;Abs|||||
6043|prix des matières premières, prix (en général), coût de la vie|N;Abs|||||
6044|coût, l'addition, payement, prix|N;Abs|||||
6045|prix, récompense|N;Abs|||||
6046|production, création littéraire, travail, oeuvre, ouvrage|N;Abs|||||
6047|florissant, prospère|N;Abs|||||
6048|but, intention, objectif|N;Abs|||||
6049|les deux (par ex. les deux épaules)|N;Abs|||||
6050|ryo (unité de monnaie obsolète)|N;Abs|||||
6051|41-42g (un seizième de kin)|N;Abs|||||
6052|2 tan (unité de mesure de tissu)|N;Abs|||||
6053|compteur de voitures (par ex. dans un train), compteur pour véhicules|N;Abs|||||
6054|différence qualitative, disparité|N;Abs|||||
6055|saison des pluies (au Japon de début Juin à mi-Juillet)|N;Abs|||||
6056|pluie durant la saison des pluies|N;Abs|||||
6057|donc, en conséquence, par conséquent|N;Abs|||||
6058|cause, motif, prétexte, raison|N;Abs|||||
6059|image, réflexion|N;Abs|||||
6060|regret, repentir|N;Abs|||||
6061|relation, relation personnelle|N;Abs|||||
6062|reste, résidu, restant, laissé pour compte|N;Abs|||||
6063|loyer|N;Abs|||||
6064|annonce, information, rapport|N;Abs|||||
6065|décision, préparation, résignation, résolution|N;Abs|||||
6066|repos, congé, répit|N;Abs|||||
6067|vacances, jour de congé, absence|N;Abs|||||
6068|dormance (d'un ver à soie avant la mue)|N;Abs|||||
6069|résultats, record, notes|N;Abs|||||
6070|prendre sa retraite, se retirer|N;Abs|||||
6071|contraire, inverse, opposé|N;Abs|||||
6072|inverse (d'une hypothèse, etc.)|N;Abs|||||
6073|(fonction) inverse|N;Abs|||||
6074|droite, côté droit|N;Pl|||||
6075|ci-dessus (en part. dans un texte japonais écrit verticalement), précédent, plus haut|N;Pl|||||
6076|droit, privilège|N;Abs|||||
6077|romaji, latinisation, romanisation, translittération du japonais en lettres latines ou « romaines »|N;Abs|||||
6078|alphabet latin, alphabet romain|N;Abs|||||
6079|règle|N;Abs|||||
6080|compte en banque, dépôt|N;Abs|||||
6081|échelle, envergure|N;Abs|||||
6082|scène, situation (par ex. d'un roman)|N;Abs|||||
6083|panorama, paysage, site|N;Abs|||||
6084|cachet, sceau|N;Abs|||||
6085|saison|N;Abs|||||
6086|titres, valeurs|N;Abs|||||
6087|goût|N;Abs|||||
6088|écrits, lettre (postale)|N;Abs|||||
6089|service, aide, assistance, soin, souci, préoccupation|N;Abs|||||
6090|réduction, rabais, remise, cadeau gratuit|N;Abs|||||
6091|service, servir|N;Abs|||||
6092|service, entretien, maintenance|N;Abs|||||
6093|forme, figure, posture, attitude, allure, pose|N;Abs|||||
6094|apparence|N;Abs|||||
6095|état, situation|N;Abs|||||
6096|approprié, convenable, adapté, raisonnable|N;Abs|||||
6097|à peu près, plutôt|N;Abs|||||
6098|courrier maritime, colis par bateau|N;Abs|||||
6099|service de ferry, service de traversier, service de paquebot|N;Abs|||||
6100|achats, shopping|N;Abs|||||
6101|allégresse, joie, jubilation, ravissement|N;Abs|||||
6102|promenade, balade|N;Abs|||||
6103|taille|N;Abs|||||
6104|société, le monde, les temps|N;Abs|||||
6105|chanson|N;Abs|||||
6106|poésie japonaise traditionnelle (par ex. le tanka)|N;Abs|||||
6107|poésie moderne|N;Abs|||||
6108|note|N;Abs|||||
6109|célébrité, réputation|N;Abs|||||
6110|lecture de caractère dérivée du chinois|N;Abs|||||
6111|sons|N;Abs|||||
6112|souvenir (objet, cadeau)|N;Abs|||||
6113|don particulier|N;Abs|||||
6114|allocution, discours|N;Abs|||||
6115|medium (personne communicant avec les esprits)|N;Abs|||||
6116|esprit, humeur, coeur|N;Abs|||||
6117|nature, disposition, tempérament|N;Abs|||||
6118|motivation, intention|N;Abs|||||
6119|humeur, sentiments|N;Abs|||||
6120|ambiance, atmosphère, humeur, esprit|N;Abs|||||
6121|point de vue, position, situation|N;Abs|||||
6122|commencement, début, ouverture|N;Abs|||||
6123|état, pays, nation|N;Abs|||||
6124|force, puissance|N;Abs|||||
6125|objet de culte principal d'un temple, réalité, substance|N;Abs|||||
6126|sommet|N;Abs|||||
6127|nom de famille|N;Abs|||||
6128|bloqué, coupé, interruption, suspension|N;Abs|||||
6129|organisation, régime, système|N;Abs|||||
6130|manoeuvre, opération militaire, stratégie, tactique|N;Abs|||||
6131|don, talent, capacité|N;Abs|||||
6132|appel de la nature, excrétion||||||
6133|impôt, taxe|N;Abs|||||
6134|température|N;Abs|||||
6135|nervosité, tension|N;Abs|||||
6136|épreuve, examen, test|N;Abs|||||
6137|test, essai, examen, épreuve|N;Abs|||||
6138|phrase, article, texte, composition|N;Abs|||||
6139|style (d'écriture)|N;Abs|||||
6140|texte|N;Abs|||||
6141|livre de référence, manuel scolaire|N;Abs|||||
6142|le dernier|N;Abs|||||
6143|sexe opposé|N;Abs|||||
6144|le même, ledit, ibid.|Px|||||
6145|chose, le fait de|N;Abs|||||
6146|incident, occurrence, événement, quelque chose de grave, difficulté, crise|N;Abs|||||
6147|circonstances, situation, état des lieux|N;Abs|||||
6148|travail, activité, affaire|N;Abs|||||
6149|après un mot variable, crée un groupe nominal indiquant quelque chose dont le locuteur ne se sent pas proche|N;Abs|||||
6150|suffixe nominal|N;Abs|||||
6151|prétendre que... , jouer à faire semblant de...|N;Abs|||||
6152|alias, surnom, également appelé, aussi connu sous le nom|N;Abs|||||
6153|idée, pensée, ideologie|N;Abs|||||
6154|moment (ou condition) opportun|N;Abs|||||
6155|période de l'année, saison|N;Abs|||||
6156|temps, travail|N;Abs|||||
6157|(porter un) toast, boire (en célébration ou en l'honneur de quelque chose)|N;Abs|||||
6158|boire son verre cul sec|N;Abs|||||
6159|tchin-tchin, Santé !, À la vôtre !|N;Abs|||||
6160|ensemble|N;Abs|||||
6161|en même temps|N;Abs|||||
6162|identique, pareil|N;Abs|||||
6163|payant|N;Abs|||||
6164|son de synthétiseur, timbre de voix, ton (couleur ou son)|N;Abs|||||
6165|compétition, match|N;Abs|||||
6166|site, vestiges, ruines|N;Abs|||||
6167|cicatrice, balafre|N;Abs|||||
6168|signal, signalisation|N;Abs|||||
6169|feu de circulation, feu de signalisation|N;Abs|||||
6170|(moyen de) transport, circulation (routière), communication, relation, trafic, échange (d'idée, etc.)|N;Abs|||||
6171|verbe transitif|N;Abs|||||
6172|ennui, peine, souci, tourment|N;Abs|||||
6173|utilisation, usage, application, emploi|N;Abs|||||
6174|emploi, usage, utilisation|N;Abs|||||
6175|usuel, habituel, ordinaire, quotidien, d'habitude, habituellement, généralement, toujours|N;Abs|||||
6176|jour de vacance, jour férié|N;Abs|||||
6177|vacances, jour de congé, permission (pour un militaire), absence (du travail)|N;Abs|||||
6178|objet de valeur, trésor|N;Abs|||||
6179|victime|N;Abs|||||
6180|sacrifice|N;Abs|||||
6181|voix|N;Abs|||||
6182|suffrage, voix, vote|Sx|||||
6183|déchets de perforation, confettis (d'une perforeuse)|N;Abs|||||
6184|fermeture hebdomadaire|N;Abs|||||
6185|calendrier (grégorien) occidental|N;Abs|||||
6186|systémique|N;Abs|||||
6187|ensemble, intégralité, n'importe quel, quoi que ce soit|N;Abs|||||
6188|vente en gros|N;Abs|||||
6189|volonté, intention, détermination|N;Abs|||||
6190|(à l'intérieur de la) ville|N;Abs|||||
6191|mot, vocabulaire, (en général) mot d'un seul caractère|N;Abs|||||
6192|corvée, fabrication, opération, travail|N;Abs|||||
6193|invitation écrite|N;Abs|||||
6194|traduction||||||
6195|déchiffrage, décryptage||||||
6196|rendu||||||
6197|année|N|||||
6198|âge, années|N|||||
6199|après sa prime jeunesse, vieux jours, vieillesse|N|||||
6200|jeune homme, jeunes|N;Abs|||||
6201|abdomen, ventre, estomac|N;An|||||
6202|utérus|N;An|||||
6203|compteur pour les récipients avec un centre bombé (pots, vases, etc.)|N;An|||||
6204|son esprit, ses intentions réelles, son vrai mobile|N;An|||||
6205|courage, culot, volonté|N;An|||||
6206|générosité, magnanimité|N;An|||||
6207|sentiments, émotions|N;An|||||
6208|grande partie du milieu, partie renflée|N;An|||||
6209|intérieur, partie interne|N;An|||||
6210|anti-noeud|N;An|||||
6211|compteur pour les oeufs de poisson|N;An|||||
6212|envie, tache de vin|N;An|||||
6213|sang, consanginité|N;An|||||
6214|coeur, essentiel, point important|N;An|||||
6215|lait (maternel)|N;An|||||
6216|poitrine, seins|N;An|||||
6217|coude|N;An|||||
6218|oeil, globe oculaire||||||
6219|vue, vision||||||
6220|regard, regard fixe, coup d'oeil||||||
6221|expérience (vécue)||||||
6222|point de vue||||||
6223|point (de couture), texture, tissage||||||
6224|suffixe des nombres ordinaux||||||
6225|quelque peu, -eux||||||
6226|prunelle, pupille (de l'oeil)|N;An|||||
6227|oeil|N;An|||||
6228|sourcil|N;An|||||
6229|pied|N;An|||||
6230|jambe|N;An|||||
6231|démarche|N;An|||||
6232|rythme, allure (de la marche)|N;An|||||
6233|composant structurel (c.-à-d. radical) en bas d'un kanji|N;An|||||
6234|moyen de transport|N;An|||||
6235|argent, pièce de monnaie|N;An|||||
6236|boyau, intestin|N;An|||||
6237|cheveux|N;An|||||
6238|fourrure, laine|N;An|||||
6239|plumage, plumes, duvet|N;An|||||
6240|organes internes, viscère|N;An|||||
6241|genou|N;An|||||
6242|giron, genou et cuisse (en position assise)|N;An|||||
6243|le corps et les membres, les membres|N;An|||||
6244|lèvres|N;An|||||
6245|poumon|N;An|||||
6246|bouche|N;Abs|||||
6247|ouverture, trou, interstice, orifice|N;Abs|||||
6248|ouverture (commencement)|N;Abs|||||
6249|compteur pour bouchées, parts (d'argent) et lames|N;Abs|||||
6250|goulot (d'une bouteille), bec verseur, embouchure, ouverture (d'un vase, etc.)|N;Abs|||||
6251|porte, portail, entrée, sortie|N;Abs|||||
6252|parole, propos, discours, langage parlé, commérage|N;Abs|||||
6253|goût, palais|N;Abs|||||
6254|bouche (à nourrir)|N;Abs|||||
6255|poste disponible, poste vacant|N;Abs|||||
6256|invitation (à faire, etc.), citation (à comparaître)|N;Abs|||||
6257|sorte, genre, type|N;Abs|||||
6258|muscle, tendon|N;An|||||
6259|ongle, griffe, serre, sabot|N;An|||||
6260|médiator, plectre|N;An|||||
6261|crochet, cran, croc, fermoir|N;An|||||
6262|cou|N;An|||||
6263|tête|N;An|||||
6264|révocation, renvoi, congédiement, licenciement|N;An|||||
6265|mamelon, téton|N;An|||||
6266|ovaire|N;An|||||
6267|épaule|N;An|||||
6268|estomac||||||
6269|constellation chinoise de l'« Estomac » (une des 28 loges lunaires)||||||
6270|corps, chair|N;An|||||
6271|langue (anatomie)|N;An|||||
6272|utérus|N;An|||||
6273|ceinture (à la taille, de sécurité, etc.), sangle|N;Ati|||||
6274|ceinture, zone, aire|N;Ati|||||
6275|courroie (d'entraînement, de transmission, etc.)|N;Ati|||||
6276|chemisier, blouse, corsage|N;Ati|||||
6277|costume (pour homme)|N;Ati|||||
6278|manteau, tunique, vêtement de dessus, veste|N;Ati|||||
6279|chapeau, casquette, bonnet|N;Ati|||||
6280|bandeau|N;Ati|||||
6281|jean|N;Ati|||||
6282|blanchissage, lavage, lessive|N;Ati|||||
6283|masque|N;Ati|||||
6284|écharpe, cache-col, cache-nez, foulard|N;Ati|||||
6285|cravate|N;Ati|||||
6286|robe|N;Ati|||||
6287|sandale|N;Ati|||||
6288|écharpe|N;Ati|||||
6289|jupe|N;Ati|||||
6290|complet, costume, tailleur|N;Ati|||||
6291|lunettes de soleil|N;Ati|||||
6292|sous-vêtements|N;Ati|||||
6293|vêtements de style occidental (par opposition aux vêtements de style japonais)|N;Ati|||||
6294|zori, sandales japonaises|N;Abs|||||
6295|bouddhisme|N;B|||||
6296|marron clair, fauve|N;Col|||||
6297|couleur dorée|N;Col|||||
6298|vert|N;Col|||||
6299|rose (couleur)|N;Col|||||
6300|érotique (habituellement utilisé en relation avec l'industrie du sexe), grivois, pornographique|N;Col|||||
6301|banane|N;Cu|||||
6302|légumineuse (surtout les légumineuses comestibles ou leurs graines, comme les haricots, les pois, les légumes à gousse, etc.), haricots, pois|N;Fl|||||
6303|soja (Glycine max), graines de soja, soya|N;Fl|||||
6304|organes génitaux féminins (surtout le clitoris)|N;Fl|||||
6305|rein|N;Fl|||||
6306|miniature, minuscule|N;Fl|||||
6307|enfant|N;Fl|||||
6308|viande de boeuf|N;Cu|||||
6309|beurre|N;Cu|||||
6310|gâteau, pâtisserie, confiserie, friandise, sucrerie|N;Cu|||||
6311|café (lieu), salon de thé|N;Pl|||||
6312|riz cuit|N;Cu|||||
6313|repas, nourriture|N;Cu|||||
6314|son gagne-pain, ses moyens de subsistance, ses moyens d'existence|N;Cu|||||
6315|lait (de vache)|N;Cu|||||
6316|dîner, souper, repas du soir|N;Cu|||||
6317|gyôza (sorte de ravioli chinois en forme de croissant et garni de porc émincé, chou chinois, oignon et ail odoriférant. faire dégorger le chou émincé dans du sel avant de le mélanger au reste)|N;Cu|||||
6318|poisson|N;Cu|||||
6319|farine de blé|N;Cu|||||
6320|nourriture|N;Cu|||||
6321|nourriture|N;Cu|||||
6322|aliment, denrées, produit alimentaire|N;Cu|||||
6323|poisson rouge|N;Cu|||||
6324|oignon vert|N;Cu|||||
6325|poulet grillé, restaurant de brochettes de poulet utilisant toutes les parties du corps du poulet, volaille rôti|N;Cu|||||
6326|confiture|N;Cu|||||
6327|jus|N;Cu|||||
6328|boisson rafraîchissante (toute boisson non alcoolisée, sucrée ou non, gazeuse ou non)|N;Cu|||||
6329|deux, égalité (tennis), diable|N;Cu|||||
6330|pain de mie|N;Cu|||||
6331|déjeuner, repas de midi|N;Cu|||||
6332|mayonnaise|N;Cu|||||
6333|viande hachée|N;Cu|||||
6334|miso, condiment fermenté à base de soja en général|N;Cu|||||
6335|entrailles (des crabes, des crevettes, etc.) ressemblant au miso|N;Cu|||||
6336|moment clé (principal), bonne partie (de quelque chose)|N;Cu|||||
6337|personne faible|N;Cu|||||
6338|udon, nouilles de blé japonaises épaisses|N;Cu|||||
6339|huile|N;Cu|||||
6340|abricotier japonais (Prunus mume), prunier chinois|N;Cu|||||
6341|le plus bas (dans un classement à trois niveaux)|N;Cu|||||
6342|viande de porc|N;Cu|||||
6343|patate, pomme de terre|N;Cu|||||
6344|lourdaud, rustre|N;Cu|||||
6345|gateau de riz gluant|N;Cu|||||
6346|thé (en poudre)|N;Cu|||||
6347|sushi moulé à la main|N;Cu|||||
6348|riz (cuit)|N;Abs|||||
6349|repas|N;Abs|||||
6350|salade|N;Cu|||||
6351|sandwich|N;Cu|||||
6352|sashimi (lamelles de poisson cru, de fruits de mer ou de crustacés)|N;Cu|||||
6353|varech|N;Cu|||||
6354|bouillon, potage, soupe (occidentale)|N;Cu|||||
6355|fraise|N;Cu|||||
6356|sushi (plat)|N;Cu|||||
6357|thé|N;Cu|||||
6358|plante de thé (Camellia sinensis)|N;Cu|||||
6359|préparation du thé, faire du thé|N;Cu|||||
6360|brun, marron|N;Cu|||||
6361|moquerie, raillerie|N;Cu|||||
6362|variante (saumure)|N;Cu|||||
6363|(grains décortiqués de) riz|N;Cu|||||
6364|âgé de 88 ans|N;Cu|||||
6365|légume|N;Cu|||||
6366|vin|N;Cu|||||
6367|jour de la semaine|N;DW|||||
6368|vendredi|N;DW|||||
6369|lundi|N;DW|||||
6370|samedi|N;DW|||||
6371|dimanche|N;DW|||||
6372|jeudi|N;DW|||||
6373|mardi|N;DW|||||
6374|mercredi|N;DW|||||
6375|ours|N;Fa|||||
6376|chat|N;Fa|||||
6377|shamisen |N;Fa|||||
6378|geisha|N;Fa|||||
6379|brouette|N;Fa|||||
6380|chauffe-lit en terre cuite|N;Fa|||||
6381|le derrière, partenaire soumis d'une relation homosexuelle|N;Fa|||||
6382|bovin (Bos taurus), vache, taureau, boeuf, veau||||||
6383|viande de boeuf||||||
6384|constellation chinoise du « Boeuf » (une des 28 loges lunaires)||||||
6385|crabe|N;Fa|||||
6386|insecte, punaise, criquet, mite, ver|N;Fa|||||
6387|éléphant (Elephantidae spp.)|N;Fa|||||
6388|renard|N;Fa|||||
6389|apparition, fantôme, lutin, monstre, spectre|N;Fa|||||
6390|être vivant, organisme||||||
6391|biologie||||||
6392|mouton|N;Fa|||||
6393|coquille, coquillage, crustacé, fruits de mer|N;Fa|||||
6394|petit oiseau, oiseau chanteur|N;Fa|||||
6395|p'tit oiseau|N;Fa|||||
6396|serpent|N;Fa|||||
6397|moineau|N;Fa|||||
6398|araignée|N;Fa|||||
6399|tortue|N;Fa|||||
6400|bambou|N;Fl|||||
6401|intermédiaire (dans un classement à trois niveaux)|N;Fl|||||
6402|branche, rameau, brindille|N;Fl|||||
6403|fleurs de cerisier||||||
6404|leurre, faux acheteur, compère||||||
6405|applaudisseur payé||||||
6406|viande de cheval||||||
6407|châtaigne, marron|N;Fl|||||
6408|concombre, cornichon|N;Fl|||||
6409|forêt|N;Fl|||||
6410|bois sacré d'un temple |N;Fl|||||
6411|fruit|N;Fl|||||
6412|arts martiaux, arts militaires, bushido|N;Fl|||||
6413|gazon, pelouse|N;Fl|||||
6414|feuille|N;Fl|||||
6415|mandarine|N;Fl|||||
6416|champignon|N;Fl|||||
6417|kaki|N;Fl|||||
6418|plante, végétation|N;Fl|||||
6419|rizière|N;Fl|||||
6420|algue marine|N;Fl|||||
6421|blé|N;Fl|||||
6422|tas, ligne (de quelque chose), collection, groupe||||||
6423|tante|N;Fy|||||
6424|tante|N;Fy|||||
6425|cousin (masculin)|N;Fy|||||
6426|fille (de quelqu'un)|N;Fy|||||
6427|jeune femme|N;Fy|||||
6428|père|N;Fy|||||
6429|père|N;Fy|||||
6430|(ma) fille|N;Abs|||||
6431|fille (c.-à-d. une femme jeune non marié)|N;Abs|||||
6432|petit-enfant|N;Fy|||||
6433|grand-père|N;Fy|||||
6434|vieil homme|N;Fy|||||
6435|masque utilisé pour le rôle d'un vieil homme dans le Kyogen|N;Fy|||||
6436|grand-mère|N;Fy|||||
6437|son mari, ton mari|N;Fy|||||
6438|chef (de famille), propriétaire (d'un magasin ou d'un logement), logeur|N;Fy|||||
6439|son mari|N;Fy|||||
6440|(son) employeur, (son) maître|N;Fy|||||
6441|hôte, hôtesse|N;Fy|||||
6442|mère|N;Fy|||||
6443|mère|N;Fy|||||
6444|frère aîné, grand frère||||||
6445|soeur aînée||||||
6446|petit frère, frère cadet||||||
6447|élève, apprenti||||||
6448|soeur cadette, petite soeur|N;Fy|||||
6449|vieille dame, m'dame (vocatif)|N;Fy|||||
6450|les deux parents, parents|N;Fy|||||
6451|parent, parents|N;Fy|||||
6452|croupier (dans un jeu de cartes, au mah-jong, etc.)|N;Fy|||||
6453|fondateur|N;Fy|||||
6454|propriétaire (d'un animal)|N;Fy|||||
6455|frères et soeurs, fratrie|N;Abs|||||
6456|frères et soeurs, fratrie|N;Abs|||||
6457|frères et soeurs de famille recomposée, beaux-frères, belles-soeurs|N;Abs|||||
6458|copain, ami|N;Abs|||||
6459|enfant|N;Fy|||||
6460|père, papa|N;Fy|||||
6461|grand-père|N;Fy|||||
6462|homme âgé|N;Fy|||||
6463|mère|N;Fy|||||
6464|frère aîné||||||
6465|(vocatif) jeune homme, copain, gars||||||
6466|soeur aînée|N;Fy|||||
6467|(vocatif) jeune femme|N;Fy|||||
6468|mademoiselle (en référence à une serveuse, etc.)|N;Fy|||||
6469|madame (utilisé par les geishas pour se référer à leurs supérieurs)|N;Fy|||||
6470|fille plus âgée (sans lien de parenté)|N;Fy|||||
6471|femme, votre femme, sa femme, femme mariée, madame|N;Fy|||||
6472|fils|N;Fy|||||
6473|pénis|N;Fy|||||
6474|oncle|N;Fy|||||
6475|homme plus âgé, Monsieur ! (interjection)|N;Fy|||||
