MM Index|Meaning|Type|Explanation|Rules|Example|Opposite|Synonym
7868|almuerzo escolar|N;Abs|||||
7869|es seguro que..., se puede decir con confianza que...|PP|||||
7870|de alguna manera, de todos modos, de una forma u otra||||||
7871|consentimiento, asentimiento, comprensión, acuerdo|N;Abs|||||
7872|en el último momento, tiempo de morirse|N;Abs|||||
7873|instrucción, mandato|N;Abs|||||
7874|firma, compañía|N;Abs|||||
7875|referencias|N;Abs|||||
7876|o, o si no, o bien||||||
7877|terraza||||||
7878|transparencia, claridad, translucidez||||||
7879|capullo (de flor), nivel de aprendiz|N;Abs|||||
7880|desesperación||||||
7881|conocimiento, información|N;Abs|||||
7882|intelectual|N;Abs|||||
7883|periodo Daido (806-810)||||||
7884|prolongación, ampliación, extensión, prorroga|N;Abs|||||
7885|era Enchou (923.4.11-931.4.26)|N;Abs|||||
7886|fusión, unificación|N;Abs|||||
7887|acuerdo, consentimiento, entendimiento mutuo|N;Abs|||||
7888|a la fuerza, por la fuerza, forzado||||||
7889|maravilloso, magnífico, esplendor, pompa, extravagancia||||||
7890|aprobar, pasar (examen), aprobar, pasar, superar con éxito (un examen, una asignatura, una inspección, etc.), cumplir con los requisitos exigidos|N;Abs|||||
7891|aleación|N;Abs|||||
7892|arrogancia||||||
7893|tortura|N;Abs|||||
7894|racionalización|N;Abs|||||
7895|confluencia, reunión||||||
7896|piel||||||
7897|ropa interior|N;Abs|||||
7898|color de la piel|N;Abs|||||
7899|desnudo, desnudez|N;Abs|||||
7900|pronto, muy pronto|A|||||
7901|arcén|N;Abs|||||
7902|doceavo signo del zodiaco chino (El Jabalí, 9p.m.-11p.m., norte-noroeste, Octubre)|N;Abs|||||
7903|región de Kansai||||||
7904|caras, elenco, nómina|N;Abs|||||
7905|cara, rasgos, facciones, rostro|N;Abs|||||
7906|semblante, fisonomía, tez|N;Abs|||||
7907|casa|N;Abs|||||
7908|avergonzado|N;Abs|||||
7909|conocido, persona conocida|N;Abs|||||
7910|conocido (desde hace buen tiempo)|N;Abs|||||
7911|caos (eng: chaos)|N;Abs|||||
7912|rostro, semblante|N;Abs|||||
7913|9, nueve, nueve|N;Ne|||||
7914|ballena|N;Abs|||||
7915|serpiente (signo del zodiaco chino)|N;Abs|||||
7916|cobardía, timidez||||||
7917|cobarde|N;Abs|||||
7918|afuera|N;Abs|||||
7919|interior (bajo techo)|N;Abs|||||
7920|retraso, demora|N;Abs|||||
7921|parte final de una palabra que se escribe en hiragana (usado en verbos y adjetivos)|N;Abs|||||
7922|esposa, su esposa|N;Abs|||||
7923|célula (biología)|N;Abs|||||
7924|fisiología|N;Abs|||||
7925|establecimiento, formación|N;Abs|||||
7926|influencia, poder, fuerza, potencia, energía|N;Abs|||||
7927|energía, vigor, vitalidad|N;Abs|||||
7928|fresco, refrescante||||||
7929|barco petrolero, buque petrolero|N;Abs|||||
7930|unidad de superficie de terreno, 3.31 metros cuadrados|N;Abs|||||
7931|garantía de securidad ej. (seguridad militar, red de seguridad, etc.|N;Abs|||||
7932|aparte, por separado||||||
7933|alias, seudónimo|N;Abs|||||
7934|tema por separado|N;Abs|||||
7935|nada, nada en particular|A|||||
7936|por separado, aparte|A|||||
7937|seguridad, paz, tranquilidad||||||
7938|insulto|N;Abs|||||
7939|ámbito (campo, área, dominio, división, terreno, esfera)|N;Abs|||||
7940|artículos de papelería|N;Abs|||||
7941|desintegración, desmontaje|N;Abs|||||
7942|libros de referencia, documentos|N;Abs|||||
7943|contexto, redacción|N;Abs|||||
7944|distribución, esparcimiento|N;Abs|||||
7945|grieta, ruptura, separación|N;Abs|||||
7946|clasificación|N;Abs|||||
7947|suma, cantidad|N;Abs|||||
7948|análisis|N;Abs|||||
7949|molécula, numerador|N;Abs|||||
7950|documento, escrito, carta, papeleo, trabajo administrativo, nota, registros, archivos|N;Abs|||||
7951|estilo literario|N;Abs|||||
7952|materiales incombustibles|N;Abs|||||
7953|sello, rúbrica||||||
7954|rebeldía|N;Abs|||||
7955|delito, crimen|N;Abs|||||
7956|hoy|N;T|||||
7957|un décimo, un centésimo, uno porciento, un décimo de un sol, un cuarto de ryou (antigua moneda)||||||
7958|una parte, una porción, una sección, algo|N;Abs|||||
7959|una copia (ej. de un documento)|N;Abs|||||
7960|una parte, una porción, una sección|N;Abs|||||
7961|confort|N;Abs|||||
7962|gripe, influenza|N;Abs|||||
7963|defectos|N;Abs|||||
7964|vaso sanguíneo|N;Abs|||||
7965|era moderna|N;Abs|||||
7966|moderno|Ana|||||
7967|éste, este tipo, esta persona||||||
7968|esta gente|P|||||
7969|sin personas, de autoservicio||||||
7970|oxígeno|N;Abs|||||
7971|pueblo de montaña|N;Abs|||||
7972|virus (lat:, ger:)||||||
7973|a propósito, a drede|A|||||
7974|bifurcación, derivación de un camino, cruce, ramal, calle, calleja, callejuela, callejuela, calleja, cruce de caminos, encrucijada|N;Abs|||||
7975|prefijo: vice-, sub-||||||
7976|buena fortuna|N;Abs|||||
7977|copia, duplicado|N;Abs|||||
7978|adverbio|N;Abs|||||
7979|asistencia social, seguro social|N;Abs|||||
7980|indumentaria, ropa|N;Abs|||||
7981|plural|N;Abs|||||
7982|exterior|N;Abs|||||
7983|gen (ger: Gen)|N;Abs|||||
7984|condición actual|N;Abs|||||
7985|fenómeno|N;Abs|||||
7986|glóbulo blanco, leucocito|N;Abs|||||
7987|leucemia|N;Abs|||||
7988|hemoglobina (eng: hemoglobin)|N;Abs|||||
7989|retirada social, rehuir de otra gente, gente que se retira de la sociedad (e.g., retirarse del país), quedarse en casa, retirada social, rechazar otra gente, gente que se retira de la sociedad (ej. retirarse del país), retirada social, huir de otra gente, gente que se retira de la sociedad (ej. retirarse del país)|N;Abs|||||
7990|noreste|N;Abs|||||
7991|cuchillo, filo, cuchillo|N;Abs|||||
7992|información, reportaje, periodismo|N;Abs|||||
7993|dialecto|N;Abs|||||
7994|escoba|N;Abs|||||
7995|dirección, camino|N;Abs|||||
7996|envoltura, embalaje, empaquetado|N;Abs|||||
7997|un animal, dos rollos curtidos de ropa, un animalito|N;Abs|||||
7998|adición, suma, incremento||||||
7999|transitable, pasable, aceptable|Ana|||||
8000|departamento, sección||||||
8001|(taxonomía) familia||||||
8002|mosquito, zancudo|N;Abs|||||
8003|levantamiento de una prohibición|N;Abs|||||
8004|conclusión, terminación, consumación|N;Abs|||||
8005|burócrata, burocracia|N;Abs|||||
8006|materia, caso, articulo|N;Abs|||||
8007|(y, en suma, concurrentemente|PP|||||
8008|espada, espada, sable, cuchilla, bayoneta, aguijón, reloj de mano|N;Abs|||||
8009|autoridad, el derecho (de hacer algo)|N;Sx|||||
8010|Irlanda del Norte (eng: Northern Ireland)||||||
8011|provincias del norte, países norteños|N;Abs|||||
8012|viento del norte|N;Abs|||||
8013|eliminación, exterminación, exterminio|N;Abs|||||
8014|queja, reclamación|N;Abs|||||
8015|por alguna razón, sin saber por qué|A|||||
8016|porque|PP|||||
8017|boca grande, gran boca, boca completamente abierta, exageración, fanfarronada, baladronada|N;Abs|||||
8018|Ministerio de Finanzas|N;Abs|||||
8019|Ministro de la Tesoreria de Japón||||||
8020|cero|N;Abs|||||
8021|excepción|N;Abs|||||
8022|cortesía, buena educación, buenos modos|N;Abs|||||
8023|adoración, culto||||||
8024|crueldad, cruel, despiadado, implacable||||||
8025|calma, compostura, serenidad||||||
8026|frialdad, indiferencia||||||
8027|congelado|N;Abs|||||
8028|bacteria, bacilo, germen|N;Abs|||||
8029|fresco, refrescante||||||
8030|invasión, intrusión, penetración|N;Abs|||||
8031|acceso, aproximación, entrada|N;Abs|||||
8032|la franqueza||||||
8033|de todos modos, en cualquier caso|A;M|||||
8034|sin descanso, sin piedad|A|||||
8035|si me permito (hacer, decir)|A|||||
8036|pruebas, testimonio||||||
8037|testificar (norm. en un contexto religioso cristiano), declarar, sufijo: certificado, prueba, demostración||||||
8038|objetivo, dirección, propósito, esperanzas||||||
8039|(eng: band) banda, pandilla|N;Abs|||||
8040|comienzo, inicio||||||
8041|torpe, falta de pericia, falta de capacidad||||||
8042|inauguración de una construcción|N;Abs|||||
8043|acometer una tarea, emprender, empezar, iniciar, comenzar, ponerse manos a la obra, comienzo, inicio|N;Abs|||||
8044|reto, desafío|N;Abs|||||
8045|escape, huida|N;Abs|||||
8046|aire||||||
8047|bolsa de aire|N;Abs|||||
8048|correo aéreo (eng: air mail), correo aéreo|N;Abs|||||
8049|aerobic (eng: aerobics)|N;Abs|||||
8050|aerosol (eng:)|N;Abs|||||
8051|interpretación, ejecución (artistica), representación (teatral), actuación|N;Abs|||||
8052|tocar (instrumento musical), interpretar o ejecutar una obra musical, interpretación musical, ejecutar, interpretar, tocar|N;Abs|||||
8053|voces, ruido de voces|N;Abs|||||
8054|lenguaje coloquial|N;Abs|||||
8055|orilla|N;Abs|||||
8056|el primer ~||||||
8057|un invento (una invención, una creación)||||||
8058|cobardía, mezquindad, injusticia||||||
8059|malo, vil, juego sucio, cobarde||||||
8060|comienzo, origen|N;Abs|||||
8061|reputación, valoración, evaluación|N;Abs|||||
8062|sustancia ajena, cuerpo ajeno, xeno|N;Abs|||||
8063|reliquia, momento|N;Abs|||||
8064|especie, tipo, variedad||||||
8065|tanka, poema|N;Abs|||||
8066|momento, instante|N;Abs|||||
8067|vuelta una vez, una revolución, una vuelta, una rotación, un año completo|N;Abs|||||
8068|una semana|N;Abs|||||
8069|un año completo|N;Abs|||||
8070|oficina de información, departamento de inteligencia|N;Abs|||||
8071|(la) sociedad de la información|N;Abs|||||
8072|tema, cuestiones, problemas|N;Abs|||||
8073|aprobación, consentimiento, acuerdo, solución|N;Abs|||||
8074|milagro, prodigio|N;Abs|||||
8075|iluminación, instrucción, enseñanza|N;Abs|||||
8076|dirección (aproximada), cálculo, conjetura, apreciación||||||
8077|final, conclusión|N;Abs|||||
8078|motivo, detonante, desencadenante, origen, oportunidad, ocasión, signo, señal, marca||||||
8079|declaración, alegación, anunciación|N;Abs|||||
8080|antígeno|N;Abs|||||
8081|meseta|N;Abs|||||
8082|tutela|N;Abs|||||
8083|contribuir, aportar, aportación, contribución|N;Abs|||||
8084|maravilla|N;Abs|||||
8085|muslo, entrepierna, bifurcación de un camino|N;Abs|||||
8086|prospecto|N;Abs|||||
8087|cotización, estimación, evaluación, avalúo|N;Abs|||||
8088|reto, desafío, problema difícil|N;Abs|||||
8089|(eng: new) nuevo|N;Abs|||||
8090|calma, serenidad, compostura|N;Abs|||||
8091|beneficio, ganancias|N;Abs|||||
8092|costura|N;Abs|||||
8093|tomar, adoptar, adopción, discreción|N;Abs|||||
8094|adopción, acogimiento, empleo|N;Abs|||||
8095|dirección oeste|N;Abs|||||
8096|fresco||||||
8097|toque final, acabado, acabado, terminación, resultado|N;Abs|||||
8098|acabado, remate, toque final|N;Abs|||||
8099|dispositivo, mecanismo, truco|N;Abs|||||
8100|nuevo||||||
8101|nueva construcción, edificio nuevo|N;Abs|||||
8102|nuevo estilo, nuevo modelo|N;Abs|||||
8103|libro nuevo, publicación nueva|N;Abs|||||
8104|nuevo (documento)||||||
8105|nueva obra, nueva producción|N;Abs|||||
8106|nuevo producto, producto nuevo|N;Abs|||||
8107|mente y cuerpo|N;Abs|||||
8108|fin, final, conclusión|N;Abs|||||
8109|final, conclusión, término|N;Abs|||||
8110|finalizar, cerrar, terminación|N;Abs|||||
8111|precoz||||||
8112|pilotar, maniobra, manejo, pilotaje|N;Abs|||||
8113|aplicar, aplicación, uso|N;Abs|||||
8114|presupuesto|N;Abs|||||
8115|niño adoptado|N;Abs|||||
8116|cobarde, debilucho||||||
8117|caballa (pez), jurel|N;Abs|||||
8118|colección, encuentro, confluencia, reunión|N;Abs|||||
8119|abuela|N;Abs|||||
8120|aventura||||||
8121|percepción|N;Abs|||||
8122|posgrado universitario|N;Abs|||||
8123|ministro del gobierno, ministro del gabinete|N;Abs|||||
8124|carpintero|N;Abs|||||
8125|pronombre|N;Abs|||||
8126|fragmento, pedazo, trozo|N;Abs|||||
8127|líquido, fluido|N;Sx|||||
8128|comida que se vende en cajitas en la estación de ferrocarril|N;Abs|||||
8129|postura sexual|N;Abs|||||
8130|jefe de estación|N;Abs|||||
8131|funcionario de estación|N;Abs|||||
8132|frente a la estación||||||
8133|cristal líquido|N;Abs|||||
8134|extracto (de comida, fruta, etc.), esencia|N;Abs|||||
8135|líquido, fluido|N;Abs|||||
8136|expreso|N;Abs|||||
8137|extra||||||
8138|forraje, pienso, granos, carnaza|N;Abs|||||
8139|cebo|N;Abs|||||
8140|señuelo, añagaza|N;Abs|||||
8141|forraje, pienso, granos, carnaza|N;Abs|||||
8142|cebo|N;Abs|||||
8143|señuelo, añagaza, cebo|N;Abs|||||
8144|neumonía, pulmonía|N;Abs|||||
8145|sello||||||
8146|reacción, respuesta|N;Abs|||||
8147|escaleras, escalones|N;Abs|||||
8148|respiro|N;Abs|||||
8149|espíritu, corazón, disposición|N;Abs|||||
8150|clase, finura||||||
8151|abandono, deserción, renuncia|N;Abs|||||
8152|de repente, abruptamente, sin advertencia||||||
8153|ímpetu, fuerza, impulso, vigor||||||
8154|abuelo, anicano (adulto mayor)|N;Abs|||||
8155|sintético, artificial|N;Abs|||||
8156|riñón|N;Abs|||||
8157|equitación, monta a caballo, cabalgadura, montura, caballo de montar|N;Abs|||||
8158|cada|Px|||||
8159|núcleo||||||
8160|rango, nivel, clase||||||
8161|esquina||||||
8162|cuadrado (o cubo)||||||
8163|alfil (shogi)||||||
8164|tercer grado (de la escala pentatónica Japonesa y China)||||||
8165|Constelación China "cuerno" (una de las 28 mansiones)||||||
8166|jiao (unidad monetaria de China; una décima parte de un yuan)||||||
8167|ángulo|N;Abs|||||
8168|revolución|N;Abs|||||
8169|probabilidad|N;Abs|||||
8170|letrero, cartel, rótulo|N;Abs|||||
8171|infección, contagio|N;Abs|||||
8172|observación (de un combate, una batalla, un encuentro, un partido, etc.)|N;Abs|||||
8173|enfermedad infecciosa, infección|N;Abs|||||
8174|dirección del viento|N;Abs|||||
8175|medicina para el catarro|N;Abs|||||
8176|impuesto fiscal|N;Abs|||||
8177|ventilación|N;Abs|||||
8178|ligero, liviano, insignificante, poco serio|Px|||||
8179|carrera de caballos|N;Abs|||||
8180|pasión, amor|N;Abs|||||
8181|deliberado, intencional|N;Abs|||||
8182|carpa|N;Abs|||||
8183|cachorro, perrito|N;Abs|||||
8184|bobina||||||
8185|querido, estimado, amado|Ai|||||
8186|respiración, respirar|N;Abs|||||
8187|aparato respiratorio|N;Abs|||||
8188|potro, caballo, ficha, pieza|N;Abs|||||
8189|koto, arpa japonesa, "so": un tipo de arpa parecido al koto|N;Abs|||||
8190|príncipe heredero|N;Abs|||||
8191|Señor, Lord, Sir||||||
8192|miembro (eng: member)||||||
8193|cara, honra, dignidad|N;Abs|||||
8194|casansarse de hacer, cansado, tedioso||||||
8195|problema, dificultad, cuidado, atención||||||
8196|exentar|N;Abs|||||
8197|reunión (en persona), entrevista, encuentro|N;Abs|||||
8198|licencia, permiso, carnet|N;Abs|||||
8199|área|N;Abs|||||
8200|conocido, persona conocida|N;Abs|||||
8201|duty-free, algo libre de impuestos|N;Abs|||||
8202|punto de vista|N;Abs|||||
8203|sello, firma (de aprobación)|N;Abs|||||
8204|lugar de destino|N;Abs|||||
8205|pez tropical|N;Abs|||||
8206|acné, barrillo, espinilla|N;Abs|||||
8207|habilidad, teatro noo|N;Abs|||||
8208|agricultura|N;Abs|||||
8209|tierra de cultivo|N;Abs|||||
8210|plantación|N;Abs|||||
8211|agricultura|N;Abs|||||
8212|ondas cerebrales|N;Abs|||||
8213|granja||||||
8214|agricultores|N;Abs|||||
8215|eficiencia, rendimiento|N;Abs|||||
8216|productos agrícolas|N;Abs|||||
8217|muerte cerebral|N;Abs|||||
8218|pesticidas|N;Abs|||||
8219|oro|N;Abs|||||
8220|edad de oro|N;Abs|||||
8221|princesa|N;Abs|||||
8222|Pekín, Beijing (China)|N;Abs|||||
8223|príncipe (eng: prince)|N;Abs|||||
8224|radar|N;Abs|||||
8225|finalmente|Ana|||||
8226|cabo, promontorio|N;Abs|||||
8227|recientemente|A;T|||||
8228|hace algún tiempo|A;T|||||
8229|primero, por adelantado||||||
8230|(el) futuro|N;Abs|||||
8231|hace algún tiempo, hace poco, hace unos días, el otro día, recientemente||||||
8232|Shanghai (China)|N;Abs|||||
8233|(eng: seal) estampa (eng: pegatina)|N;Abs|||||
8234|agresión, invasión, asalto|N;Abs|||||
8235|cola (de un animal)|N;Abs|||||
8236|ataque improvisto, redada|N;Abs|||||
8237|entorno, alrededores|N;Abs|||||
8238|circunferencia|N;Abs|||||
8239|manga (ropa)|N;Abs|||||
8240|abuelos|N;Abs|||||
8241|patria, país natal|N;Abs|||||
8242|antepasado|N;Abs|||||
8243|exterior||||||
8244|monje, sacerdote|N;Abs|||||
8245|prefijo: general||||||
8246|ruido|N;Abs|||||
8247|sucesión, herencia|N;Abs|||||
8248|otro (especialmente gente y materia abstracta)|N;Abs|||||
8249|multi-||||||
8250|tabaco, tabaco, cigarrillos||||||
8251|continente|N;Abs|||||
8252|el objetivo (la meta de)|N;Abs|||||
8253|unidad, denominación, puntos, créditos||||||
8254|valle|N;Abs|||||
8255|nacimiento, aparición|N;Abs|||||
8256|talio (Tl) (eng: thallium)|N;Abs|||||
8257|gran cantidad||||||
8258|proponer, hacer una propuesta, formular una proposición, propuesta|N;Abs|||||
8259|dique, rompeolas|N;Abs|||||
8260|corte de energía (electricidad, luz), apagón, falla del suministro electrico|N;Abs|||||
8261|definición|N;Abs|||||
8262|mostrar, presentar|N;Abs|||||
8263|precio normal|N;Abs|||||
8264|precio bajo|N;Abs|||||
8265|edad establecida de jubilación|N;Abs|||||
8266|comida corrida, menú del día|N;Abs|||||
8267|entrega, presentación|N;Abs|||||
8268|protuberancia|N;Abs|||||
8269|propiedad intelectual, patente|N;Abs|||||
8270|Oficina de Patentes||||||
8271|aquí y allá, en algunas partes|N;Pl|||||
8272|no obstante, aunque, aun cuando|PP|||||
8273|llegada|N;Abs|||||
8274|príncipe heredero|N;Abs|||||
8275|timidez, reserva||||||
8276|entresijos, secretos, lo que ocurre en la trastienda, lo que ocurre entre bastidores|N;Abs|||||
8277|interno, privado, familiar, íntimo, comedido, reservado, prudente||||||
8278|abanico||||||
8279|lista detallada|N;Abs|||||
8280|exploración espacial|N;Abs|||||
8281|vacío espacial, vacío del espacio|N;Abs|||||
8282|raja, abertura, grieta, hendidura, ranura, vagina, coño|N;Abs|||||
8283|ración, porción, cuota, tasa, asignación, reparto|N;Abs|||||
8284|palillos de madera desechables|N;Abs|||||
8285|comparativamente, en proporción|A|||||
8286|oficina pública|N;Abs|||||
8287|papel, función, rol|N;Abs|||||
8288|funcionario del gobierno||||||
8289|actor, actriz|N;Abs|||||
8290|oficina de gobierno, oficina pública|N;Abs|||||
8291|puesto, posición, directivo|N;Abs|||||
8292|aprobación, visto bueno|N;Abs|||||
8293|andrajoso, deshilachado, despedazado, desgastado||||||
8294|topónimo|N;Abs|||||
8295|herida mortal|N;Abs|||||
8296|mortal, letal|Ana|||||
8297|primer teniente|N;Abs|||||
8298|teniente coronel, comandante (marina)|N;Abs|||||
8299|practica, ejercicio, ensayo, maniobras (militares), seminario|N;Abs|||||
8300|una persona ordinaria|N;Abs|||||
8301|en general|A|||||
8302|popular, típico, general|Ana|||||
8303|ligeramente, algo, poco|N;Abs|||||
8304|grava, arena|N;Abs|||||
8305|ejecución, práctica|N;Abs|||||
8306|práctica, ejercicio|N;Abs|||||
8307|practicar, hacer ejercicios prácticos, hacer prácticas, práctica, adiestramiento, instrucción|N;Abs|||||
8308|condición (requisito)|N;Abs|||||
8309|sentido común|N;Abs|||||
8310|reorganización|N;Abs|||||
8311|circular, redondo, en forma de círculo|N;Abs|||||
8312|emocional, sentimental|Ana|||||
8313|práctica, entrenamiento, estudio||||||
8314|sangre|N;Abs|||||
8315|grupo sanguíneo|N;Abs|||||
8316|piloto (ej. de un avión)|N;Abs|||||
8317|abdicación, renuncia, renunciación, abstención|N;Abs|||||
8318|cicatriz|N;Abs|||||
8319|herida|N;Abs|||||
8320|pretexto, excusa|N;Abs|||||
8321|deducción|N;Abs|||||
8322|mejora, mejoría, progreso|N;Abs|||||
8323|ternera, ternero, becerro, ternero, becerro||||||
8324|fantasía, ensueño, imaginación|N;Abs|||||
8325|capitán (eng: captain)|N;Abs|||||
8326|cada vez, vez y otra vez||||||
8327|nominación, pretexto|N;Abs|||||
8328|México|N;Abs|||||
8329|Golfo de Mexico||||||
8330|(eng: Miss, miss, myth, MIS) señorita, fallo (eng: equivocación), (eng: lit mito, MIS)|N;Abs|||||
8331|errata (eng: misprint), error de imprenta|N;Abs|||||
8332|gastado, raído, miserable, ruin, destartalado, venido a menos, miserable, desastrado|Ai|||||
8333|intento de|N;Sx|||||
8334|bajo, debajo, detrás||||||
8335|originalmente, por naturaleza, desde el principio||||||
8336|plausible|Ai|||||
8337|mañana por la tarde|N;T|||||
8338|mañana por la mañana|N;T|||||
8339|(el) próximo año, (el) año que viene|N;T|||||
8340|práctica, experiencia|N;Abs|||||
8341|nori, alga comestible|N;Abs|||||
8342|pegamento, cola|N;Abs|||||
8343|tripulación|N;Abs|||||
8344|Nuevo México (eng: New Mexico)||||||
8345|caída, descenso, holán de un luchador de sumo|N;Abs|||||
8346|grito, chillido, clamor|N;Abs|||||
8347|grito|N;Abs|||||
8348|componente, ingrediente|N;Abs|||||
8349|capitán de una embarcación|N;Abs|||||
8350|guiar, dirigir, conducir|N;Abs|||||
8351|tiempo de guerra|N;Abs|||||
8352|táctica|N;Abs|||||
8353|latencia|N;Abs|||||
8354|tres días a partir de hoy|N;T|||||
8355|evidencia, prueba|N;Abs|||||
8356|comercio e industria|N;Abs|||||
8357|síndrome|N;Abs|||||
8358|Cámara de Comercio e Industria|N;Abs|||||
8359|gastarse, desgastarse, erosionarse, consumirse, consumo, desgaste, deterioro|N;Abs|||||
8360|entrenamiento, práctica, adiestramiento|N;Abs|||||
8361|reunirse, congregarse, agrupación, concentración, junta|N;Abs|||||
8362|daño, herida|N;Abs|||||
8363|salida prematura|N;Abs|||||
8364|relativo|Ana|||||
8365|afilado|Ai|||||
8366|condición física|N;Abs|||||
8367|longitud, largura, largo|N;Abs|||||
8368|coronel|N;Abs|||||
8369|gerente de una tienda, administrador de una tienda|N;Abs|||||
8370|tráfico, circulación|N;Abs|||||
8371|carretera bloqueada, camino cerrado||||||
8372|playa, costa|N;Abs|||||
8373|flete, carga, envío, transporte, remesa, transporte marítimo de mercancías|N;Abs|||||
8374|opuesto, reverso, contrario||||||
8375|almohada cuadrada usada para sentarse sobre las rodillas en un tatami|N;Abs|||||
8376|fortuna, riqueza||||||
8377|en frente de mis narices|A|||||
8378|estudiante|N;Abs|||||
8379|las reservas (lo almacenado, el stock)|N;Abs|||||
8380|maderas|N;Abs|||||
8381|ingredientes, material|N;Abs|||||
8382|riquezas, posesiones, activo|N;Abs|||||
8383|asuntos financieros, finanzas públicas|N;Abs|||||
8384|misceláneos|N;Abs|||||
8385|balance (banco), saldo|N;Abs|||||
8386|crueldad, severidad||||||
8387|asiento|N;Abs|||||
8388|misceláneos, al aventón, de poca calidad||||||
8389|Locuacidad, cháchara, charla|N;Abs|||||
8390|ruido|N;Abs|||||
8391|ascenso y descenso de un transporte|N;Abs|||||
8392|ropa, vestimenta, prendas|N;Abs|||||
8393|silla de ruedas, silla plegable|N;Abs|||||
8394|nuez (fruto), nogal|N;Abs|||||
8395|sufrimiento, dolor, pena|N;Abs|||||
8396|borrador, bosquejo|N;Abs|||||
8397|por lo tanto, por consiguiente, de acuerdo con, por eso, de modo que|PP|||||
8398|barrio popular||||||
8399|inspección, reconocimiento, control, examen, supervisión||||||
8400|amistad, simpatía, afección, familiaridad|N;Abs|||||
8401|investigación preliminar, exploración, sondeo|N;Abs|||||
8402|armamento|N;Abs|||||
8403|ruina, desperdicio||||||
8404|solo, solamente|PP|||||
8405|límite, límites|N;Abs|||||
8406|habla y conducta|N;Abs|||||
8407|asiduamente, interminablemente, nada pero, en serio, decidido||||||
8408|metodología|N;Abs|||||
8409|nada||||||
8410|zanjarse, solventarse, decidirse, concluir|N;Abs|||||
8411|poderoso||||||
8412|raro, infrecuente|Ana|||||
8413|Malasia (eng: Malaysia)|N;Abs|||||
8414|qué, algo, cualquier cosa, todo|N;Abs|||||
8415|nada en absoluto|A|||||
8416|nada (eng: nothing)|N;Abs|||||
8417|absurdo, ridículo, raro, extraño|P|||||
8418|enseñanza, doctrina|N;Abs|||||
8419|alumno|N;Abs|||||
8420|país vecino, estado vecino|N;Abs|||||
8421|control, restricción|N;Abs|||||
8422|no tiene solución, es inevitable, no se puede hacer nada|CE;idp|||||
8423|premio, premio en metálico|N;Abs|||||
8424|negativo, poco entusiasta, pasivo, desmotivado|Ana|||||
8425|aumento de sueldo|N;Abs|||||
8426|cada vez que..., siempre que...|A|||||
8427|destino (de un viaje)|N;Abs|||||
8428|a menudo, repetidamente, frecuentemente|A|||||
8429|gimnasia|N;Abs|||||
8430|exagerado||||||
8431|impensable, inimaginable, inconcebible, inesperado||||||
8432|terrible, tremendo, grave||||||
8433|muy||||||
8434|saludo usado entre los amigos íntimos masculinos, Hola!|CE|||||
8435|justo como uno piensa, como de costumbre||||||
8436|la verdad, francamente, el hecho||||||
8437|realmente, justamente, precisamente, casi, se diría que...|A|||||
8438|pago inicial (adelantado), deposito|N;Abs|||||
8439|llegar al tope, llegar al limite|N;Abs|||||
8440|nosotros|P|||||
8441|nosotros, nos|P|||||
8442|en parte, parcialmente, parcialmente|Ana|||||
8443|tribu, clan, casa (linaje con un mismo apellido y origen)|N;Abs|||||
8444|por favor||||||
8445|retirada|N;Abs|||||
8446|flujo, salir, graduar (de), naciente (sol o luna), el turno (de uno) para aparecer en escena||||||
8447|tanto como sea posible|CE|||||
8448|poste de teléfono, poste telegráfico, poste de luz|N;Abs|||||
8449|biografía, relato de la vida|N;Abs|||||
8450|foco, bombilla|N;Abs|||||
8451|electricidad, energía eléctrica|N;Abs|||||
8452|corriente eléctrica|N;Abs|||||
8453|tradición, leyenda, folklore|N;Abs|||||
8454|comunicación, transmisión|N;Abs|||||
8455|tradición|N;Abs|||||
8456|avaricia, codicia||||||
8457|del mismo sexo|N;Abs|||||
8458|transferencia (moneda), cambio|N;Abs|||||
8459|costumbres y modales, moral pública|N;Abs|||||
8460|aspecto exterior, aspecto externo|N;Abs|||||
8461|apariencia exterior|N;Abs|||||
8462|comer fuera de casa, alimento ingerido fuera de la casa|N;Abs|||||
8463|deseo, aspiración|N;Abs|||||
8464|Día de Año Nuevo, Día del Nuevo Año|N;Abs|||||
8465|fuerte, resistente, robusto||||||
8466|solicitud (por escrito)|N;Abs|||||
8467|fin de mes|N;T|||||
8468|juego japónes de Go|N;Abs|||||
8469|etimología||||||
8470|vocabulario, léxico|N;Abs|||||
8471|entender mal, interpretar erróneamente, juzgar de modo equivocado, malentendido|N;Abs|||||
8472|la verdad es que de hecho... (en realidad lo que sucede es que, ), verdaderamente, como era de esperarse|A|||||
8473|princesa, consorte|N;Abs|||||
8474|misma especie||||||
8475|coste, costo, gasto|Sx|||||
8476|falla, error, negación||||||
8477|favoritismo, patrocinio, predilección, preferencia|N;Abs|||||
8478|reducción, corte|N;Abs|||||
8479|elegancia, distinción, gracia, donaire, dignidad, grado de pureza de un metal precioso, porcentaje de oro o plata contenido en una moneda|N;Abs|||||
8480|artículo, producto, calidad||||||
8481|elegancia, distinción, gracia, donaire|N;Abs|||||
8482|lista de artículos|N;Abs|||||
8483|elemento de la oración|N;Abs|||||
8484|calidad (material)|N;Abs|||||
8485|forma, raza (taxonomía), f. (abreviatura del latín "forma"), marca, tipo, clase|N;Abs|||||
